VARIAVEL,FAIXA_1,FAIXA_2,FAIXA_3,FAIXA_4,FAIXA_5,FAIXA_6,FAIXA_7,FAIXA_8,FAIXA_9,FAIXA_10,FAIXA_11,FAIXA_12,FAIXA_13,FAIXA_14,FAIXA_15,FAIXA_16
LAMBDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORT_EQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORT_COV,0.029187267481193043,0.029187267481193043,0.0012240972130425913,0.0012240972130425913,0.005442389047915981,0.005442389047915981,0.004618811363958209,0.004618811363958209,0.007171702965306693,0.007171702965306693,0.014391930808722227,0.014391930808722227,0.03361482441288051,0.03361482441288051,0.03694439889648752,0.06732857742817819
ALPHA,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
RHO,0.032,0.03238845,0.02962776,0.02995633,0.03358307,0.05299146,0.09793462,0.15794046,0.21987609,0.26417767,0.30171269,0.35867505,0.47089833,0.59434039,0.6360768,0.64549604
PHI,0.0001,0.0001,0.0104,0.0104,0.0104,0.0104,0.0343,0.0343,0.0425,0.0425,0.0816,0.0816,0.118,0.118,0.3,0.3
ETA,3.33e-05,3.33e-05,0.0001,0.0001,0.003466667,0.003466667,0.011433333,0.011433333,0.014166667,0.014166667,0.0272,0.0272,0.039333333,0.039333333,0.055333333,0.056666667
A,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184,0.1331221002498184
GAMA_H,1.8128737565958416e-05,1.8128737565958416e-05,0.001905012295865995,0.001905012295865995,0.001905012295865995,0.001905012295865995,0.006438371305193355,0.006438371305193355,0.008045893466512556,0.008045893466512556,0.016105804169029493,0.016105804169029493,0.024251441198183836,0.024251441198183836,0.07768682010943637,0.07768682010943637
GAMA_HR,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454,0.11750309741540454
GAMA_RI,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818
GAMA_RA,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818
GAMA_RQI,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818
GAMA_RQA,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818
GAMA_HQI,1.8128737565958416e-05,1.8128737565958416e-05,0.001905012295865995,0.001905012295865995,0.001905012295865995,0.001905012295865995,0.006438371305193355,0.006438371305193355,0.008045893466512556,0.008045893466512556,0.016105804169029493,0.016105804169029493,0.024251441198183836,0.024251441198183836,0.07768682010943637,0.07768682010943637
TC,1.61e-05,1.61e-05,6.95e-05,6.95e-05,0.000309,0.000309,0.000844,0.000844,0.00161,0.00161,0.00595,0.00595,0.0193,0.0193,0.0428,0.078
TLC,0.16099999999999998,0.16099999999999998,0.006682692307692308,0.006682692307692308,0.02971153846153846,0.02971153846153846,0.0246064139941691,0.0246064139941691,0.03788235294117647,0.03788235294117647,0.07291666666666667,0.07291666666666667,0.16355932203389834,0.16355932203389834,0.14266666666666666,0.26
